2	4
10	6
8	8
8	6
8	6
10	12
8	6
10	8
6	6
6	8
8	6
6	8
6	6
4	8
10	8
8	8
6	6
8	12
4	6
8	6
8	8
4	8
8	8
6	6
4	6
8	8
6	2
10	10
8	10
6	8
8	6
10	8
6	8
10	10
6	8
8	8
4	4
10	8
8	6
8	4
6	6
6	6
6	4
14	12
8	8
10	6
4	4
4	4
4	6
6	4
6	10
10	8
4	10
8	8
10	10
4	6
10	8
6	6
8	8
8	8
12	8
8	8
10	10
8	8
8	12
6	8
10	12
6	10
8	6
4	10
2	8
8	6
6	6
6	8
6	8
12	10
6	8
4	6
10	6
8	8
6	6
12	12
6	4
8	10
8	8
4	6
4	6
10	6
12	6
6	6
6	4
6	8
6	6
4	4
8	8
8	4
6	8
6	8
6	10
4	6
2	2
12	10
10	8
6	6
6	6
10	10
6	4
10	10
8	6
4	8
8	6
8	10
6	6
8	6
8	6
8	8
8	6
8	8
8	6
4	6
8	6
6	8
18	18
4	4
10	10
6	6
8	8
4	6
4	8
4	6
6	6
4	8
8	10
10	12
4	8
6	8
8	8
8	8
4	4
6	6
8	14
12	14
8	6
4	2
8	12
6	6
0	0
8	12
10	10
20	12
4	6
8	10
2	4
2	4
8	8
16	8
8	6
10	10
4	6
4	6
6	10
6	8
4	4
8	12
8	8
2	4
10	10
6	6
6	8
4	4
10	10
8	10
6	10
4	8
6	4
8	8
4	4
6	12
2	4
8	6
10	10
12	14
10	6
6	6
8	10
8	10
6	8
4	10
6	6
8	2
6	4
4	4
4	4
8	8
6	12
10	10
4	2
4	4
6	10
4	2
6	8
14	12
6	10
6	6
8	6
10	10
10	6
8	6
12	12
14	16
8	10
12	12
6	10
10	12
4	4
8	10
8	8
10	12
6	4
8	6
8	8
6	8
6	8
10	8
6	8
4	4
4	6
4	6
8	8
16	8
12	14
12	6
4	6
10	6
10	10
8	8
4	6
4	6
4	2
4	4
6	6
2	8
8	8
4	4
2	2
10	18
4	4
8	6
6	8
10	10
8	10
6	18
16	16
6	8
8	8
2	6
4	8
4	6
8	4
10	6
4	2
14	14
4	6
10	6
10	6
2	8
6	6
8	8
12	12
12	10
10	10
2	8
8	8
8	8
6	4
8	8
6	6
10	8
8	6
8	10
12	10
4	6
12	12
6	10
10	6
6	8
10	10
6	12
10	6
4	4
10	10
8	8
10	8
6	6
6	4
10	12
6	10
8	18
10	8
10	8
